epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,775.735,0.5312,0.91502,1.00919,0.78451,0.92253,0.895,0.64324,0.68405,2.66461,1.22448,0.000444448,0.000444448,0.000444448
70,786.53,0.36753,0.79906,0.95506,0.78451,0.92253,0.895,0.64324,0.68405,2.66461,1.22448,0.000437322,0.000437322,0.000437322
71,795.154,0.45595,0.90332,0.98858,0.78451,0.92253,0.895,0.64324,0.68405,2.66461,1.22448,0.0004298,0.0004298,0.0004298
72,805.26,0.40523,0.82315,0.92231,1,0.93512,0.995,0.71934,0.62681,2.57198,1.20694,0.000421882,0.000421882,0.000421882
73,815.044,0.37445,0.84907,0.89494,1,0.93512,0.995,0.71934,0.62681,2.57198,1.20694,0.000413568,0.000413568,0.000413568
74,822.684,0.59675,0.82596,1.06795,1,0.93512,0.995,0.71934,0.62681,2.57198,1.20694,0.000404858,0.000404858,0.000404858
75,877.591,0.39598,0.83388,0.94835,1,0.91207,0.995,0.72436,0.62839,2.41929,1.23778,0.000395752,0.000395752,0.000395752
76,886.028,0.4025,0.84877,0.96317,1,0.91207,0.995,0.72436,0.62839,2.41929,1.23778,0.00038625,0.00038625,0.00038625
77,893.383,0.28861,0.7485,0.92635,1,0.91207,0.995,0.72436,0.62839,2.41929,1.23778,0.000376352,0.000376352,0.000376352
78,900.855,0.33186,0.9131,0.8725,1,0.96552,0.995,0.76861,0.71719,2.11366,1.25949,0.000366058,0.000366058,0.000366058
79,907.836,0.4373,1.29065,1.09915,1,0.96552,0.995,0.76861,0.71719,2.11366,1.25949,0.000355368,0.000355368,0.000355368
80,915.644,0.39103,0.85568,0.9996,1,0.96552,0.995,0.76861,0.71719,2.11366,1.25949,0.000344282,0.000344282,0.000344282
81,923.498,0.34073,0.73462,0.91771,1,0.9883,0.995,0.8288,0.67605,2.04119,1.17157,0.0003328,0.0003328,0.0003328
82,931.539,0.33527,0.76834,0.89826,1,0.9883,0.995,0.8288,0.67605,2.04119,1.17157,0.000320922,0.000320922,0.000320922
83,939.962,0.30295,0.69701,0.93939,1,0.9883,0.995,0.8288,0.67605,2.04119,1.17157,0.000308648,0.000308648,0.000308648
84,947.889,0.31877,0.86751,0.96812,1,0.99409,0.995,0.83288,0.60895,1.9874,1.11206,0.000295978,0.000295978,0.000295978
85,955.924,0.41859,0.7244,0.99129,1,0.99409,0.995,0.83288,0.60895,1.9874,1.11206,0.000282912,0.000282912,0.000282912
86,964.442,0.36278,0.74094,0.95324,1,0.99409,0.995,0.83288,0.60895,1.9874,1.11206,0.00026945,0.00026945,0.00026945
87,971.605,0.32932,0.88061,0.93415,1,0.99409,0.995,0.83288,0.60895,1.9874,1.11206,0.000255592,0.000255592,0.000255592
88,980.522,0.34318,0.72605,0.92393,0.7696,1,0.945,0.81513,0.57912,1.95638,1.103,0.000241338,0.000241338,0.000241338
89,988.992,0.25727,0.70738,0.91175,0.7696,1,0.945,0.81513,0.57912,1.95638,1.103,0.000226688,0.000226688,0.000226688
90,996.922,0.31525,0.80219,0.87756,0.7696,1,0.945,0.81513,0.57912,1.95638,1.103,0.000211642,0.000211642,0.000211642
91,1007.53,0.28063,1.12855,0.96664,0.7696,1,0.945,0.81513,0.57912,1.95638,1.103,0.0001962,0.0001962,0.0001962
92,1016.38,0.2521,1.13066,0.93549,0.7811,1,0.945,0.80288,0.62305,1.98818,1.14443,0.000180362,0.000180362,0.000180362
93,1073.37,0.33082,1.30659,0.99399,0.7811,1,0.945,0.80288,0.62305,1.98818,1.14443,0.000164128,0.000164128,0.000164128
94,1091.54,0.31,1.12333,0.92641,0.7811,1,0.945,0.80288,0.62305,1.98818,1.14443,0.000147498,0.000147498,0.000147498
95,1100.88,0.25034,1.1598,0.9312,0.7811,1,0.945,0.80288,0.62305,1.98818,1.14443,0.000130472,0.000130472,0.000130472
96,1111.41,0.24995,1.15756,0.92432,0.77163,1,0.945,0.80288,0.64784,1.99102,1.17681,0.00011305,0.00011305,0.00011305
97,1122.8,0.24791,1.14458,0.88339,0.77163,1,0.945,0.80288,0.64784,1.99102,1.17681,9.5232e-05,9.5232e-05,9.5232e-05
98,1132.61,0.27272,1.12386,0.91302,0.77163,1,0.945,0.80288,0.64784,1.99102,1.17681,7.7018e-05,7.7018e-05,7.7018e-05
99,1143.6,0.41741,1.27211,1.08673,0.77163,1,0.945,0.80288,0.64784,1.99102,1.17681,5.8408e-05,5.8408e-05,5.8408e-05
100,1158.31,0.21104,1.07918,0.88297,0.77324,1,0.945,0.80288,0.66079,1.9325,1.18685,3.9402e-05,3.9402e-05,3.9402e-05
